,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
2661,Acne, Skin rash, Pus filled pimples, Blackheads, Scurring
2662,Urinary tract infection, Burning Micturition, Bladder discomfort, Foul smell of urine, Continuous feel of urine
2663,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
2664,Impetigo, Skin rash, High fever, Blister, Red sore around nose
2665,Fungal infection,Itching, Skin rash, Nodal skin eruptions, Dischromic patches
2666,Allergy, Continuous sneezing, Shivering, Chills, Watering from eyes
2667,GERD, Stomach pain, Acidity, Ulcers on tongue, Vomiting
2668,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
2669,Drug Reaction,Itching, Skin rash, Stomach pain, Burning Micturition
2670,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Abdominal pain
2671,AIDS, Muscle wasting, Patches in throat, High fever, Extra marital contacts
2672,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
2673,Gastroenteritis, Vomiting, Sunken eyes, Dehydration, Diarrhoea
2674,Bronchial Asthma, Fatigue, Cough, High fever, Breathlessness
2675,Hypertension , Headache, Chest pain, Dizziness, Loss of balance
2676,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
2677,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Dizziness
2678,Paralysis (brain hemorrhage), Vomiting, Headache, Weakness of one body side, Altered sensorium
2679,Jaundice,Itching, Vomiting, Fatigue, Weight loss
2680,Malaria, Chills, Vomiting, High fever, Sweating
2681,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
2682,Dengue, Skin rash, Chills, Joint pain, Vomiting
2683,Typhoid, Chills, Vomiting, Fatigue, High fever
2684,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
2685,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
2686,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
2687,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
2688,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
2689,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
2690,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
2691,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
2692,Pneumonia, Chills, Fatigue, Cough, High fever
2693,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
2694,Heart attack, Vomiting, Breathlessness, Sweating, Chest pain
2695,Varicose veins, Fatigue, Cramps, Bruising, Obesity
2696,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
2697,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
2698,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
2699,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
2700,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
2701,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
2702,Acne, Skin rash, Pus filled pimples, Blackheads, Scurring
2703,Urinary tract infection, Burning Micturition, Bladder discomfort, Foul smell of urine, Continuous feel of urine
2704,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
2705,Impetigo, Skin rash, High fever, Blister, Red sore around nose
2706,Fungal infection,Itching, Skin rash, Nodal skin eruptions, Dischromic patches
2707,Allergy, Continuous sneezing, Shivering, Chills, Watering from eyes
2708,GERD, Stomach pain, Acidity, Ulcers on tongue, Vomiting
2709,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
2710,Drug Reaction,Itching, Skin rash, Stomach pain, Burning Micturition
2711,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Abdominal pain
2712,AIDS, Muscle wasting, Patches in throat, High fever, Extra marital contacts
2713,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
2714,Gastroenteritis, Vomiting, Sunken eyes, Dehydration, Diarrhoea
2715,Bronchial Asthma, Fatigue, Cough, High fever, Breathlessness
2716,Hypertension , Headache, Chest pain, Dizziness, Loss of balance
2717,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
2718,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Dizziness
2719,Paralysis (brain hemorrhage), Vomiting, Headache, Weakness of one body side, Altered sensorium
2720,Jaundice,Itching, Vomiting, Fatigue, Weight loss
2721,Malaria, Chills, Vomiting, High fever, Sweating
2722,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
2723,Dengue, Skin rash, Chills, Joint pain, Vomiting
2724,Typhoid, Chills, Vomiting, Fatigue, High fever
2725,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
2726,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
2727,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
2728,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
2729,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
2730,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
2731,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
2732,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
2733,Pneumonia, Chills, Fatigue, Cough, High fever
2734,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
2735,Heart attack, Vomiting, Breathlessness, Sweating, Chest pain
2736,Varicose veins, Fatigue, Cramps, Bruising, Obesity
2737,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
2738,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
2739,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
2740,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
2741,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
2742,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
2743,Acne, Skin rash, Pus filled pimples, Blackheads, Scurring
2744,Urinary tract infection, Burning Micturition, Bladder discomfort, Foul smell of urine, Continuous feel of urine
2745,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
2746,Impetigo, Skin rash, High fever, Blister, Red sore around nose
2747,Fungal infection,Itching, Skin rash, Nodal skin eruptions, Dischromic patches
2748,Allergy, Continuous sneezing, Shivering, Chills, Watering from eyes
2749,GERD, Stomach pain, Acidity, Ulcers on tongue, Vomiting
2750,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
2751,Drug Reaction,Itching, Skin rash, Stomach pain, Burning Micturition
2752,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Abdominal pain
2753,AIDS, Muscle wasting, Patches in throat, High fever, Extra marital contacts
2754,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
2755,Gastroenteritis, Vomiting, Sunken eyes, Dehydration, Diarrhoea
2756,Bronchial Asthma, Fatigue, Cough, High fever, Breathlessness
2757,Hypertension , Headache, Chest pain, Dizziness, Loss of balance
2758,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
2759,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Dizziness
2760,Paralysis (brain hemorrhage), Vomiting, Headache, Weakness of one body side, Altered sensorium
2761,Jaundice,Itching, Vomiting, Fatigue, Weight loss
2762,Malaria, Chills, Vomiting, High fever, Sweating
2763,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
2764,Dengue, Skin rash, Chills, Joint pain, Vomiting
2765,Typhoid, Chills, Vomiting, Fatigue, High fever
2766,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
2767,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
2768,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
2769,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
2770,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
2771,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
2772,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
2773,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
2774,Pneumonia, Chills, Fatigue, Cough, High fever
2775,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
2776,Heart attack, Vomiting, Breathlessness, Sweating, Chest pain
2777,Varicose veins, Fatigue, Cramps, Bruising, Obesity
2778,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
2779,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
2780,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
2781,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
2782,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
2783,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
2784,Acne, Skin rash, Pus filled pimples, Blackheads, Scurring
2785,Urinary tract infection, Burning Micturition, Bladder discomfort, Foul smell of urine, Continuous feel of urine
2786,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
2787,Impetigo, Skin rash, High fever, Blister, Red sore around nose
2788,Fungal infection,Itching, Skin rash, Nodal skin eruptions, Dischromic patches
2789,Allergy, Continuous sneezing, Shivering, Chills, Watering from eyes
2790,GERD, Stomach pain, Acidity, Ulcers on tongue, Vomiting
2791,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
2792,Drug Reaction,Itching, Skin rash, Stomach pain, Burning Micturition
2793,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Abdominal pain
2794,AIDS, Muscle wasting, Patches in throat, High fever, Extra marital contacts
2795,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
2796,Gastroenteritis, Vomiting, Sunken eyes, Dehydration, Diarrhoea
2797,Bronchial Asthma, Fatigue, Cough, High fever, Breathlessness
2798,Hypertension , Headache, Chest pain, Dizziness, Loss of balance
2799,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
2800,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Dizziness
2801,Paralysis (brain hemorrhage), Vomiting, Headache, Weakness of one body side, Altered sensorium
2802,Jaundice,Itching, Vomiting, Fatigue, Weight loss
2803,Malaria, Chills, Vomiting, High fever, Sweating
2804,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
2805,Dengue, Skin rash, Chills, Joint pain, Vomiting
2806,Typhoid, Chills, Vomiting, Fatigue, High fever
2807,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
2808,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
2809,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
2810,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
2811,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
2812,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
2813,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
2814,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
2815,Pneumonia, Chills, Fatigue, Cough, High fever
2816,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
2817,Heart attack, Vomiting, Breathlessness, Sweating, Chest pain
2818,Varicose veins, Fatigue, Cramps, Bruising, Obesity
2819,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
2820,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
2821,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
2822,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
2823,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
2824,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
2825,Acne, Skin rash, Pus filled pimples, Blackheads, Scurring
2826,Urinary tract infection, Burning Micturition, Bladder discomfort, Foul smell of urine, Continuous feel of urine
2827,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
2828,Impetigo, Skin rash, High fever, Blister, Red sore around nose
2829,Fungal infection,Itching, Skin rash, Nodal skin eruptions, Dischromic patches
2830,Allergy, Continuous sneezing, Shivering, Chills, Watering from eyes
2831,GERD, Stomach pain, Acidity, Ulcers on tongue, Vomiting
2832,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
2833,Drug Reaction,Itching, Skin rash, Stomach pain, Burning Micturition
2834,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Abdominal pain
2835,AIDS, Muscle wasting, Patches in throat, High fever, Extra marital contacts
2836,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
2837,Gastroenteritis, Vomiting, Sunken eyes, Dehydration, Diarrhoea
2838,Bronchial Asthma, Fatigue, Cough, High fever, Breathlessness
2839,Hypertension , Headache, Chest pain, Dizziness, Loss of balance
2840,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
2841,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Dizziness
2842,Paralysis (brain hemorrhage), Vomiting, Headache, Weakness of one body side, Altered sensorium
2843,Jaundice,Itching, Vomiting, Fatigue, Weight loss
2844,Malaria, Chills, Vomiting, High fever, Sweating
2845,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
2846,Dengue, Skin rash, Chills, Joint pain, Vomiting
2847,Typhoid, Chills, Vomiting, Fatigue, High fever
2848,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
2849,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
2850,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
2851,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
2852,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
2853,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
2854,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
2855,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
2856,Pneumonia, Chills, Fatigue, Cough, High fever
2857,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
2858,Heart attack, Vomiting, Breathlessness, Sweating, Chest pain
2859,Varicose veins, Fatigue, Cramps, Bruising, Obesity
2860,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
2861,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
2862,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
2863,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
2864,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
2865,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
2866,Acne, Skin rash, Pus filled pimples, Blackheads, Scurring
2867,Urinary tract infection, Burning Micturition, Bladder discomfort, Foul smell of urine, Continuous feel of urine
2868,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
2869,Impetigo, Skin rash, High fever, Blister, Red sore around nose
2870,Fungal infection,Itching, Skin rash, Nodal skin eruptions, Dischromic patches
2871,Allergy, Continuous sneezing, Shivering, Chills, Watering from eyes
2872,GERD, Stomach pain, Acidity, Ulcers on tongue, Vomiting
2873,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
2874,Drug Reaction,Itching, Skin rash, Stomach pain, Burning Micturition
2875,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Abdominal pain
2876,AIDS, Muscle wasting, Patches in throat, High fever, Extra marital contacts
2877,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
2878,Gastroenteritis, Vomiting, Sunken eyes, Dehydration, Diarrhoea
2879,Bronchial Asthma, Fatigue, Cough, High fever, Breathlessness
2880,Hypertension , Headache, Chest pain, Dizziness, Loss of balance
2881,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
2882,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Dizziness
2883,Paralysis (brain hemorrhage), Vomiting, Headache, Weakness of one body side, Altered sensorium
2884,Jaundice,Itching, Vomiting, Fatigue, Weight loss
2885,Malaria, Chills, Vomiting, High fever, Sweating
2886,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
2887,Dengue, Skin rash, Chills, Joint pain, Vomiting
2888,Typhoid, Chills, Vomiting, Fatigue, High fever
2889,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
2890,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
2891,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
2892,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
2893,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
2894,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
2895,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
2896,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
2897,Pneumonia, Chills, Fatigue, Cough, High fever
2898,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
2899,Heart attack, Vomiting, Breathlessness, Sweating, Chest pain
2900,Varicose veins, Fatigue, Cramps, Bruising, Obesity
2901,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
2902,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
2903,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
2904,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
2905,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
2906,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
2907,Acne, Skin rash, Pus filled pimples, Blackheads, Scurring
2908,Urinary tract infection, Burning Micturition, Bladder discomfort, Foul smell of urine, Continuous feel of urine
2909,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
2910,Impetigo, Skin rash, High fever, Blister, Red sore around nose
2911,Fungal infection,Itching, Skin rash, Nodal skin eruptions, Dischromic patches
2912,Allergy, Continuous sneezing, Shivering, Chills, Watering from eyes
2913,GERD, Stomach pain, Acidity, Ulcers on tongue, Vomiting
2914,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
2915,Drug Reaction,Itching, Skin rash, Stomach pain, Burning Micturition
2916,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Abdominal pain
2917,AIDS, Muscle wasting, Patches in throat, High fever, Extra marital contacts
2918,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
2919,Gastroenteritis, Vomiting, Sunken eyes, Dehydration, Diarrhoea
2920,Bronchial Asthma, Fatigue, Cough, High fever, Breathlessness
2921,Hypertension , Headache, Chest pain, Dizziness, Loss of balance
2922,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
2923,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Dizziness
2924,Paralysis (brain hemorrhage), Vomiting, Headache, Weakness of one body side, Altered sensorium
2925,Jaundice,Itching, Vomiting, Fatigue, Weight loss
2926,Malaria, Chills, Vomiting, High fever, Sweating
2927,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
2928,Dengue, Skin rash, Chills, Joint pain, Vomiting
2929,Typhoid, Chills, Vomiting, Fatigue, High fever
2930,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
2931,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
2932,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
2933,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
2934,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
2935,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
2936,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
2937,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
2938,Pneumonia, Chills, Fatigue, Cough, High fever
2939,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
2940,Heart attack, Vomiting, Breathlessness, Sweating, Chest pain
2941,Varicose veins, Fatigue, Cramps, Bruising, Obesity
2942,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
2943,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
2944,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
2945,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
2946,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
2947,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
2948,Acne, Skin rash, Pus filled pimples, Blackheads, Scurring
2949,Urinary tract infection, Burning Micturition, Bladder discomfort, Foul smell of urine, Continuous feel of urine
2950,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
2951,Impetigo, Skin rash, High fever, Blister, Red sore around nose
2952,Fungal infection,Itching, Skin rash, Nodal skin eruptions, Dischromic patches
2953,Allergy, Continuous sneezing, Shivering, Chills, Watering from eyes
2954,GERD, Stomach pain, Acidity, Ulcers on tongue, Vomiting
2955,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
2956,Drug Reaction,Itching, Skin rash, Stomach pain, Burning Micturition
2957,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Abdominal pain
2958,AIDS, Muscle wasting, Patches in throat, High fever, Extra marital contacts
2959,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
2960,Gastroenteritis, Vomiting, Sunken eyes, Dehydration, Diarrhoea
2961,Bronchial Asthma, Fatigue, Cough, High fever, Breathlessness
2962,Hypertension , Headache, Chest pain, Dizziness, Loss of balance
2963,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
2964,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Dizziness
2965,Paralysis (brain hemorrhage), Vomiting, Headache, Weakness of one body side, Altered sensorium
2966,Jaundice,Itching, Vomiting, Fatigue, Weight loss
2967,Malaria, Chills, Vomiting, High fever, Sweating
2968,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
2969,Dengue, Skin rash, Chills, Joint pain, Vomiting
2970,Typhoid, Chills, Vomiting, Fatigue, High fever
2971,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
2972,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
2973,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
2974,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
2975,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
2976,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
2977,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
2978,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
2979,Pneumonia, Chills, Fatigue, Cough, High fever
2980,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
2981,Heart attack, Vomiting, Breathlessness, Sweating, Chest pain
2982,Varicose veins, Fatigue, Cramps, Bruising, Obesity
2983,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
2984,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
2985,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
2986,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
2987,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
2988,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
2989,Acne, Skin rash, Pus filled pimples, Blackheads, Scurring
2990,Urinary tract infection, Burning Micturition, Bladder discomfort, Foul smell of urine, Continuous feel of urine
2991,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
2992,Impetigo, Skin rash, High fever, Blister, Red sore around nose
2993,Fungal infection,Itching, Skin rash, Nodal skin eruptions, Dischromic patches
2994,Allergy, Continuous sneezing, Shivering, Chills, Watering from eyes
2995,GERD, Stomach pain, Acidity, Ulcers on tongue, Vomiting
2996,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
2997,Drug Reaction,Itching, Skin rash, Stomach pain, Burning Micturition
2998,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Abdominal pain
2999,AIDS, Muscle wasting, Patches in throat, High fever, Extra marital contacts
3000,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
3001,Gastroenteritis, Vomiting, Sunken eyes, Dehydration, Diarrhoea
3002,Bronchial Asthma, Fatigue, Cough, High fever, Breathlessness
3003,Hypertension , Headache, Chest pain, Dizziness, Loss of balance
3004,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
3005,Cervical spondylosis, Back pain, Weakness in limbs, Neck pain, Dizziness
3006,Paralysis (brain hemorrhage), Vomiting, Headache, Weakness of one body side, Altered sensorium
3007,Jaundice,Itching, Vomiting, Fatigue, Weight loss
3008,Malaria, Chills, Vomiting, High fever, Sweating
3009,Chicken pox,Itching, Skin rash, Fatigue, Lethargy
3010,Dengue, Skin rash, Chills, Joint pain, Vomiting
3011,Typhoid, Chills, Vomiting, Fatigue, High fever
3012,hepatitis A, Joint pain, Vomiting, Yellowish skin, Dark urine
3013,Hepatitis B,Itching, Fatigue, Lethargy, Yellowish skin
3014,Hepatitis C, Fatigue, Yellowish skin, Nausea, Loss of appetite
3015,Hepatitis D, Joint pain, Vomiting, Fatigue, Yellowish skin
3016,Hepatitis E, Joint pain, Vomiting, Fatigue, High fever
3017,Alcoholic hepatitis, Vomiting, Yellowish skin, Abdominal pain, Swelling of stomach
3018,Tuberculosis, Chills, Vomiting, Fatigue, Weight loss
3019,Common Cold, Continuous sneezing, Chills, Fatigue, Cough
3020,Pneumonia, Chills, Fatigue, Cough, High fever
3021,Dimorphic hemmorhoids(piles), Constipation, Pain during Bowel movements, Pain in Anal region, Bloody stool
3022,Heart attack, Vomiting, Breathlessness, Sweating, Chest pain
3023,Varicose veins, Fatigue, Cramps, Bruising, Obesity
3024,Hypothyroidism, Fatigue, Weight gain, Cold hands and feets, Mood swings
3025,Hyperthyroidism, Fatigue, Mood swings, Weight loss, Restlessness
3026,Hypoglycemia, Vomiting, Fatigue, Anxiety, Sweating
3027,Osteoarthristis, Joint pain, Neck pain, Knee pain, Hip joint pain
3028,Arthritis, Muscle weakness, Stiff neck, Swelling joints, Movement stiffness
3029,(vertigo) Paroymsal  Positional Vertigo, Vomiting, Headache, Nausea, Spinning movements
3030,Acne, Skin rash, Pus filled pimples, Blackheads, Scurring
3031,Urinary tract infection, Burning Micturition, Bladder discomfort, Foul smell of urine, Continuous feel of urine
3032,Psoriasis, Skin rash, Joint pain, Skin peeling, Silver like dusting
3033,Impetigo, Skin rash, High fever, Blister, Red sore around nose
3034,Fungal infection,Itching, Skin rash, Nodal skin eruptions, Dischromic patches
3035,Allergy, Continuous sneezing, Shivering, Chills, Watering from eyes
3036,GERD, Stomach pain, Acidity, Ulcers on tongue, Vomiting
3037,Chronic cholestasis,Itching, Vomiting, Yellowish skin, Nausea
3038,Drug Reaction,Itching, Skin rash, Stomach pain, Burning Micturition
3039,Peptic ulcer diseae, Vomiting, Indigestion, Loss of appetite, Abdominal pain
3040,AIDS, Muscle wasting, Patches in throat, High fever, Extra marital contacts
3041,Diabetes , Fatigue, Weight loss, Restlessness, Lethargy
3042,Gastroenteritis, Vomiting, Sunken eyes, Dehydration, Diarrhoea
3043,Bronchial Asthma, Fatigue, Cough, High fever, Breathlessness
3044,Hypertension , Headache, Chest pain, Dizziness, Loss of balance
3045,Migraine, Acidity, Indigestion, Headache, Blurred and Distorted vision
